336,St. Mirren,12
337,S. Ameliano,15
338,ADT,15
339,Motherwell,12
340,Dep. La Guaira,15
341,FC Petrolul,25
342,Club Nacional,15
343,FC Hermannstadt,25
344,FC Gloria Buzău,25
345,Chennaiyin FC,26
346,S. Trinidense,15
347,NorthEast United,26
348,FC Botoșani,25
349,Radomiak Radom,20
350,Kalmar FF,22
351,Tromsø IL,18
352,Delfín SC,15
353,Universitario,15
354,Mjällby AIF,22
355,Korona Kielce,20
356,Politehnica Iași,25
357,HJK Helsinki,28
358,Dundee United,12
359,Dundee FC,12
360,Puszcza,20
361,UTA Arad,25
362,Halmstads BK,22
363,Fredrikstad FK,18
364,Lechia Gdańsk,20
365,Galway United,27
366,St. Pats,27
367,Real Tomayapo,15
368,Shelbourne,27
369,HamKam Fotball,18
370,Derry City,27
371,Sligo Rovers,27
372,Sandefjord,18
373,IK Sirius,22
374,Unirea Slobozia,25
375,Newcastle Jets,21
376,Rayo Zuliano,15
377,Västerås SK,22
378,Ross County,12
379,Kristiansund BK,18
380,GAIS,22
381,Bohemians,27
382,Waterford,27
383,Dundalk,27
384,Drogheda United,27
385,Mohammedan SC,26
386,Hyderabad FC,26
